SN,Region,Site ID,Site Class,Snag Category,Sub Category,Remarks,Snag Opened By,Snag Severity,Visit Date,Closing Date,Status,SnagFlag,Open Month,Closed Month
114127,AUH,AAN0034,Class C,CIVIL,RRU NEEDS REPAIRING,Sector 4  RRU nut Boltes  Not Fixed in wall ( Mall 2nd floor Telephone Room no 5),Asmatullah Tahir Muhammad,MINOR,17/06/2026,,Open,KEEP_OPEN,June-26,
70165,AUH,AAN0034,Class C,SHELTER,SITE ID DAMAGED,Du Site id FADED (Replaced) GSM ROOM DOOR,Kanwaljeet Singh,MINOR,25/10/2025,25/10/2025,Closed,CLOSED_UNIQUE,October-25,October-25
17109,AUH,AAN0036,Class C,AIR CONDITIONING,AIR CONDITIONING - OTHERS,Need to Install Thermostat & Alarm cables,Asmatullah Tahir Muhammad,MINOR,03/03/2025,08/09/2025,Closed,CLOSED_UNIQUE,March-25,September-25
109332,AUH,AAN0036,Class C,EXTERNAL ALARMS,NOT WORKING,2G1800 has been lock.the alarm need to be migrated to the Ericsson,Kanwaljit Singh,MINOR,22/05/2026,,Open,KEEP_OPEN,May-26,
71019,AUH,AAN0038,Class C,TI,TI - OTHERS,RTN Fan No 2 Cleaned,Asmatullah Tahir Muhammad,MINOR,30/10/2025,30/10/2025,Closed,CLOSED_UNIQUE,October-25,October-25
51160,AUH,AAN0040,Class C,BATTERY,TEMPERATURE SENSOR,Delta Display faulty  battery sensor Not Check,Asmatullah Tahir Muhammad,MAJOR,20/08/2025,,Open,KEEP_OPEN,August-25,
62777,AUH,AAN0046,Class C,POWER METER,POWER METER NOT WORKING,SUB Meter Not Working,Prabat Kumat,MINOR,27/09/2025,29/04/2026,Closed,CLOSED_UNIQUE,September-25,April-26
9389,AUH,AAN0049,Class C,SHELTER,SITE ID DAMAGED,Site id Damage Replace,Asmatullah Tahir Muhammad,MINOR,07/01/2025,07/01/2025,Closed,CLOSED_UNIQUE,January-25,January-25
42465,AUH,AAN0050,Class C,TI,TI - OTHERS,RTN Fan No 1 Cleaned,Asmatullah Tahir Muhammad,MINOR,18/07/2025,18/07/2025,Closed,CLOSED_UNIQUE,July-25,July-25
113177,AUH,AAN0050,Class C,TI,TI - OTHERS, RTN Fan No 1 Cleaned ,Asmatullah Tahir Muhammad,MINOR,12/06/2026,12/06/2026,Closed,CLOSED_UNIQUE,June-26,June-26
48415,AUH,AAN0051,Class C,SHELTER,SITE ID DAMAGED,Site Id Damage /replace,Asmatullah Tahir Muhammad,MINOR,11/08/2025,11/08/2025,Closed,CLOSED_UNIQUE,August-25,August-25
13849,AUH,AAN0055,Class C,CIVIL,RRU NEEDS REPAIRING,Sector 2 RRU need to be fixe in wall,Asmatullah Tahir Muhammad,MINOR,06/02/2025,,Open,KEEP_OPEN,February-25,
28438,AUH,AAN0062,Class C,BATTERY,TEMPERATURE SENSOR,Battery Tempearature Sensor Not Working,Asmatullah Tahir Muhammad,MINOR,20/05/2025,12/11/2025,Closed,CLOSED_UNIQUE,May-25,November-25
66271,AUH,AAN0064,Class C,SHELTER,SITE ID DAMAGED,Du Site id FADED (Replaced) GSM ROOM DOOR,Kanwaljeet Singh,MINOR,10/10/2025,10/10/2025,Closed,CLOSED_UNIQUE,October-25,October-25
94031,AUH,AAN0068,Class C,CIVIL,RRU NEEDS REPAIRING,"   Sector 1 5g & L18 ,u21 RRU nuts Not Fixed in well ",Asmatullah Tahir Muhammad,MINOR,18/02/2026,,Open,KEEP_OPEN,February-26,
49523,AUH,AAN0070,Class C,BATTERY,TEMPERATURE SENSOR,vertiv rectifier  Tempearature Sensor cables Missing,Asmatullah Tahir Muhammad,MAJOR,14/08/2025,,Open,KEEP_OPEN,August-25,
49525,AUH,AAN0072,Class C,BATTERY,TEMPERATURE SENSOR,vertiv rectifier  Tempearature Sensor cables Missing,Asmatullah Tahir Muhammad,MAJOR,14/08/2025,,Open,KEEP_OPEN,August-25,
63306,AUH,AAN0077,Class C,CIVIL,RRU NEEDS REPAIRING,RRU nut Boltes Not Fixed  in wall,Asmatullah Tahir Muhammad,MINOR,30/09/2025,21/07/2026,Closed,CLOSED_UNIQUE,September-25,July-26
21039,AUH,AAN0077,Class C,SHELTER,SITE ID DAMAGED,DU site ID sticker missing,Mohsinuddin Mohammad,MINOR,28/03/2025,28/03/2025,Closed,CLOSED_UNIQUE,March-25,March-25
39031,AUH,AAN0097,Class C,TI,TI - OTHERS,Equipment miner dusty. clean it,Kanwaljit Singh,MINOR,07/07/2025,07/07/2025,Closed,CLOSED_UNIQUE,July-25,July-25
39030,AUH,AAN0098,Class C,TI,TI - OTHERS,Equipment miner dusty. clean it,Kanwaljit Singh,MINOR,07/07/2025,07/07/2025,Closed,CLOSED_UNIQUE,July-25,July-25
41347,AUH,AAN0105,Class C,BATTERY,TEMPERATURE SENSOR,Battery sensor cable not installed,Kanwaljit Singh,MINOR,14/07/2025,02/01/2026,Closed,CLOSED_UNIQUE,July-25,January-26
41349,AUH,AAN0105,Class C,SHELTER,SITE ID DAMAGED,Du Sticker damaged (Replaced),Kanwaljit Singh,MINOR,14/07/2025,14/07/2025,Closed,CLOSED_UNIQUE,July-25,July-25
124236,AUH,AAN0107,Class C,BATTERY,TEMPERATURE SENSOR,Temperature sesnor cable missing ,Asmatullah Tahir Muhammad,MAJOR,21/07/2026,,Open,KEEP_OPEN,July-26,
70777,AUH,AAN0111,Class C,BATTERY,TEMPERATURE SENSOR,Temperature sensor   Cables Are Missing,Asmatullah Tahir Muhammad,MAJOR,29/10/2025,,Open,KEEP_OPEN,October-25,
70778,AUH,AAN0111,Class C,CIVIL,SAFETY ROPE DAMAGED,cable ladder net Came out from wall need to Fixed,Asmatullah Tahir Muhammad,MINOR,29/10/2025,,Open,KEEP_OPEN,October-25,
109693,AUH,AAN0112,Class C,BATTERY,TEMPERATURE SENSOR,Vertiv Temperature sesnor Cables missing /fixed ,Asmatullah Tahir Muhammad,MAJOR,30/05/2026,30/05/2026,Closed,CLOSED_UNIQUE,May-26,May-26
42787,AUH,AAN0117,Class C,CIVIL,RRU NEEDS REPAIRING,Both RRU Need to Fixed With Nut Boltes,Asmatullah Tahir Muhammad,MINOR,19/07/2025,19/02/2026,Closed,CLOSED_UNIQUE,July-25,February-26
48232,AUH,AAN0118,Class C,SHELTER,SITE ID DAMAGED,Site ID Tag damaged   (Replaced),Kanwaljeet Singh,MINOR,09/08/2025,09/08/2025,Closed,CLOSED_UNIQUE,August-25,August-25
44027,AUH,AAN0119,Class C,AIR CONDITIONING,AC LEAKAGE,No snags on site,Asmatullah Tahir Muhammad,MAJOR,24/07/2025,24/07/2025,Closed,CLOSED_UNIQUE,July-25,July-25
130605,AUH,AAN0128,Class C,BATTERY,TEMPERATURE SENSOR,vertiv Temperature Sesnor Not  working /fixed ,Asmatullah Tahir Muhammad,MAJOR,12/08/2026,12/08/2026,Closed,CLOSED_UNIQUE,August-26,August-26
63442,AUH,AAN0132,Class C,SHELTER,SITE ID DAMAGED,Du Site id damage  (Replaced) GSM ROOM DOOR,Kanwaljeet Singh,MINOR,30/09/2025,30/09/2025,Closed,CLOSED_UNIQUE,September-25,September-25
127143,AUH,AAN0135,Class C,BATTERY,TEMPERATURE SENSOR,Battery temp  sensor cable not installed,Kanwaljit Singh,MAJOR,30/07/2026,,Open,KEEP_OPEN,July-26,
122156,AUH,AAN0137,Class C,BATTERY,TEMPERATURE SENSOR,vertiv temperature sesnor /fixed ,Asmatullah Tahir Muhammad,MAJOR,14/07/2026,14/07/2026,Closed,CLOSED_UNIQUE,July-26,July-26
133818,AUH,AAN0140,Class C,BATTERY,TEMPERATURE SENSOR,Vertiv Temperature Sensor Not Working /fixed ,Asmatullah Tahir Muhammad,MAJOR,22/08/2026,22/08/2026,Closed,CLOSED_UNIQUE,August-26,August-26
87347,AUH,AAN0399A,Class C,EXTERNAL ALARMS,NOT WORKING,Site Already Migrated to ERICSSON alarm not reported,Kanwaljit Singh,MINOR,15/01/2026,,Open,KEEP_OPEN,January-26,
10788,AUH,AAN0399A,Class C,SHELTER,SITE ID DAMAGED,DU Sticker,Raja Gurusamy,MINOR,16/01/2025,16/01/2025,Closed,CLOSED_UNIQUE,January-25,January-25
134537,AUH,AAN0602,Class C,EXTERNAL ALARMS,NOT WORKING,Alarm lock in 2G ,Asmatullah Tahir Muhammad,MINOR,25/08/2026,,Open,KEEP_OPEN,August-26,
118993,AUH,AAN2004,Class C,CIVIL,CIVIL - OTHERS,Monopole Anchor bolt caps missing.,Kanwaljit Singh,MINOR,03/07/2026,,Open,KEEP_OPEN,July-26,
118994,AUH,AAN2004,Class C,CIVIL,SAFETY ROPE DAMAGED,Monopole ladder safety stopper is missing,Kanwaljit Singh,MINOR,03/07/2026,,Open,KEEP_OPEN,July-26,
35962,AUH,AAN2004,Class C,CIVIL,SHELTER ROOF REPAIR,"The roof of shelter is damaged and rusty,and shelter there is also a slight water leakage lineses inside",Kanwaljit Singh,MINOR,21/06/2025,03/07/2026,Closed,CLOSED_UNIQUE,June-25,July-26
118990,AUH,AAN2004,Class C,CIVIL,SHELTER ROOF WATERPROOFING,"The roof of shelter is badly damaged and rusty,and shelter there is also a slight water leakage lineses inside",Kanwaljit Singh,MINOR,03/07/2026,,Open,KEEP_OPEN,July-26,
118991,AUH,AAN2004,Class C,CIVIL,TOWER STRUCTURE PAINT IS EXFOLIATED,Monopole Structure epoxy paint peeling off and shelter door step paint damage.,Kanwaljit Singh,MINOR,03/07/2026,,Open,KEEP_OPEN,July-26,
77252,AUH,AAN2004,Class C,FIRE SYSTEMS,FIRE ALARM BATTERY FAULTY,FACP Battery faulty (Replaced) 12V 2.2AH),Kanwaljeet Singh,MINOR,25/11/2025,25/11/2025,Closed,CLOSED_UNIQUE,November-25,November-25
118992,AUH,AAN2004,Class C,OTHERS,PLANTATION,Grass on site (Removed),Kanwaljit Singh,MINOR,03/07/2026,03/07/2026,Closed,CLOSED_UNIQUE,July-26,July-26
35959,AUH,AAN2004,Class C,SHELTER,SITE ID DAMAGED,Site ID Tag damaged (Replaced),Kanwaljit Singh,MINOR,21/06/2025,21/06/2025,Closed,CLOSED_UNIQUE,June-25,June-25
35960,AUH,AAN2004,Class C,TI,TI - OTHERS,Gsm mw antenna weatherproffing checked.,Kanwaljit Singh,MINOR,21/06/2025,21/06/2025,Closed,CLOSED_UNIQUE,June-25,June-25
18613,AUH,AAN2005,Class A,BATTERY,BATTERY FAULTY,BBU2 all cell Faulty Keep disconnected ( rectifier 2) last pm,Asmatullah Tahir Muhammad,MAJOR,14/03/2025,05/08/2025,Closed,CLOSED_UNIQUE,March-25,August-25
128681,AUH,AAN2005,Class A,BATTERY,TEMPERATURE SENSOR,Vertiv Rectifier-2 battery temperature sensor cable reshuffle & battery temp alarm configured.,Kanwaljit Singh,MAJOR,05/08/2026,05/08/2026,Closed,CLOSED_UNIQUE,August-26,August-26
18611,AUH,AAN2005,Class A,CIVIL,BOUNDARY WALL DAMAGED,Minor cracks on boundary wall plaster,Asmatullah Tahir Muhammad,MINOR,14/03/2025,13/08/2025,Closed,CLOSED_UNIQUE,March-25,August-25
128679,AUH,AAN2005,Class A,CIVIL,CIVIL - OTHERS,Monopole platfrom door missing and anchor bolt cap missing,Kanwaljit Singh,MINOR,05/08/2026,,Open,KEEP_OPEN,August-26,
18609,AUH,AAN2005,Class A,CIVIL,CIVIL - OTHERS,Main Earthing hole concrete block broken,Asmatullah Tahir Muhammad,MINOR,14/03/2025,13/08/2025,Closed,CLOSED_UNIQUE,March-25,August-25
110407,AUH,AAN2005,Class A,CIVIL,CIVIL - OTHERS,Monopole platfrom door missing and anchor bolt cap missing,Kanwaljit Singh,MINOR,02/06/2026,05/08/2026,Closed,CLOSED_UNIQUE,June-26,August-26
128680,AUH,AAN2005,Class A,CIVIL,SAFETY ROPE DAMAGED,Monopole ladder safety stopper is missing,Kanwaljit Singh,MINOR,05/08/2026,,Open,KEEP_OPEN,August-26,
18610,AUH,AAN2005,Class A,CIVIL,TOWER FOUNDATION PAINT IS EXFOLIATED,Minor cracks on structure foundation plaster and paint peeling off,Asmatullah Tahir Muhammad,MINOR,14/03/2025,13/08/2025,Closed,CLOSED_UNIQUE,March-25,August-25
110410,AUH,AAN2005,Class A,DC SYSTEM,CONTROL PANEL DISPLAY FAULTY,Vertiv2000 Rectifier2 controler is not Giving  login.Due to this the battery temperature alarm has not been configured.,Kanwaljit Singh,MAJOR,02/06/2026,05/08/2026,Closed,CLOSED_UNIQUE,June-26,August-26
87366,AUH,AAN2005,Class A,EXTERNAL ALARMS,NOT WORKING,Main Gate alarm not working,Mohsinuddin Mohammad,MAJOR,15/01/2026,16/04/2026,Closed,CLOSED_UNIQUE,January-26,April-26
128684,AUH,AAN2005,Class A,FIRE SYSTEMS,FIRE SYSTEMS - OTHERS,1 Fe sticker install fire cylinder,Kanwaljit Singh,MINOR,05/08/2026,05/08/2026,Closed,CLOSED_UNIQUE,August-26,August-26
48818,AUH,AAN2005,Class A,OTHERS,OTHERS,One thermostat has been installed in the shelter,Kanwaljit Singh,MINOR,12/08/2025,12/08/2025,Closed,CLOSED_UNIQUE,August-25,August-25
110405,AUH,AAN2005,Class A,OTHERS,PLANTATION,Grass on site (Removed),Kanwaljit Singh,MINOR,02/06/2026,02/06/2026,Closed,CLOSED_UNIQUE,June-26,June-26
110409,AUH,AAN2005,Class A,SHELTER,EXTERNAL LIGHTING BULB FAULTY,Shelter external light faulty ( 1 SET REQUIRED),Kanwaljit Singh,MINOR,02/06/2026,10/06/2026,Closed,CLOSED_UNIQUE,June-26,June-26
110404,AUH,AAN2005,Class A,SHELTER,SITE ID DAMAGED,Du Site id faded (Replaced) Main Gate Door ,Kanwaljit Singh,MINOR,02/06/2026,02/06/2026,Closed,CLOSED_UNIQUE,June-26,June-26
28423,AUH,AAN2005,Class A,TI,TI - OTHERS,weatherproof are checked,Asmatullah Tahir Muhammad,MINOR,20/05/2025,20/05/2025,Closed,CLOSED_UNIQUE,May-25,May-25
48817,AUH,AAN2005,Class A,TI,TI - OTHERS,GSM Antenna and Microwave ODU weatherproffing checked.,Kanwaljit Singh,MINOR,12/08/2025,12/08/2025,Closed,CLOSED_UNIQUE,August-25,August-25
128682,AUH,AAN2005,Class A,TI,TI - OTHERS,Gsm  antenna weatherproffing checked.,Kanwaljit Singh,MINOR,05/08/2026,05/08/2026,Closed,CLOSED_UNIQUE,August-26,August-26
18608,AUH,AAN2006,Class A,BATTERY,BATTERY FAULTY,Rectifier 2 all cell faulty,Asmatullah Tahir Muhammad,MAJOR,14/03/2025,05/08/2025,Closed,CLOSED_UNIQUE,March-25,August-25
113565,AUH,AAN2006,Class A,BATTERY,TEMPERATURE SENSOR,Vertiv Rectifier2  battery temperature sensor cable reshuffle & battery temp alarm configured.,Kanwaljit Singh,MAJOR,13/06/2026,13/06/2026,Closed,CLOSED_UNIQUE,June-26,June-26
129761,AUH,AAN2006,Class A,CIVIL,CIVIL - OTHERS,Monopole Anchor bolt  caps missing.,Kanwaljit Singh,MINOR,08/08/2026,,Open,KEEP_OPEN,August-26,
18606,AUH,AAN2006,Class A,CIVIL,CIVIL - OTHERS,Gravel Miss Around Boundary Wall,Asmatullah Tahir Muhammad,MINOR,14/03/2025,02/10/2025,Closed,CLOSED_UNIQUE,March-25,October-25
113563,AUH,AAN2006,Class A,CIVIL,CIVIL - OTHERS,Monopole ladder safety stopper found missing,Kanwaljit Singh,MINOR,13/06/2026,08/08/2026,Closed,CLOSED_UNIQUE,June-26,August-26
113566,AUH,AAN2006,Class A,CIVIL,CIVIL - OTHERS,Monopole Anchor bolt  caps missing.,Kanwaljit Singh,MINOR,13/06/2026,08/08/2026,Closed,CLOSED_UNIQUE,June-26,August-26
31353,AUH,AAN2006,Class A,CIVIL,GROUND LEVELING,Gravel Miss Around Boundary Wall,Asmatullah Tahir Muhammad,MINOR,31/05/2025,02/10/2025,Closed,CLOSED_UNIQUE,May-25,October-25
129759,AUH,AAN2006,Class A,CIVIL,TOWER FOUNDATION PAINT IS EXFOLIATED,Monopole  foundation and shlelter step structure foundation has epoxy paint peeling off            ,Kanwaljit Singh,MINOR,08/08/2026,,Open,KEEP_OPEN,August-26,
64087,AUH,AAN2006,Class A,CIVIL,TOWER STRUCTURE PAINT IS EXFOLIATED,The paint on the monopole structure is aslo damaged.,Kanwaljeet Singh,MINOR,02/10/2025,15/01/2026,Closed,CLOSED_UNIQUE,October-25,January-26
